Code,"Long Name","Income Group","Region","Lending category","Other groups","Currency Unit","Latest population census","Latest household survey","Special Notes","National accounts base year","National accounts reference year","System of National Accounts","SNA price valuation","Alternative conversion factor","PPP survey year","Balance of Payments Manual in use","External debt Reporting status","System of trade","Government Accounting concept","IMF data dissemination standard","Source of most recent Income and expenditure data","Vital registration complete","Latest agricultural census","Latest industrial data","Latest trade data","Latest water withdrawal data","2-alpha code","WB-2 code","Table Name","Short Name"
LUX,"Grand Duchy of Luxembourg","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Luxembourg franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","2010","2010","2013","1999","LU","LU","Luxembourg","Luxembourg"
MAC,"Macao Special Administrative Region of the People's Republic of China","High income: nonOECD","East Asia & Pacific","","","Macao pataca","2011","","On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.","2012","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","","Yes","","2011","2012","","MO","MO","Macao SAR, China","Macao SAR, China"
MKD,"Former Yugoslav Republic of Macedonia","Upper middle income","Europe & Central Asia","IBRD","","Macedonian denar","2002","Multiple Indicator Cluster Survey (MICS), 2011","New base year is 2005.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2010","Yes","2007","2010","2013","2007","MK","MK","Macedonia, FYR","Macedonia"
MDG,"Republic of Madagascar","Low income","Sub-Saharan Africa","IDA","HIPC","Malagasy ariary","1993","Malaria Indicator Survey (MIS), 2013","","1984","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Priority survey (PS), 2010","","","2006","2013","2000","MG","MG","Madagascar","Madagascar"
MWI,"Republic of Malawi","Low income","Sub-Saharan Africa","IDA","HIPC","Malawi kwacha","2008","Malaria Indicator Survey (MIS), 2014","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2009.","2009","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010/11","","2006/ 2007","2010","2013","2005","MW","MW","Malawi","Malawi"
MYS,"Malaysia","Upper middle income","East Asia & Pacific","IBRD","","Malaysian ringgit","2010","World Health Survey (WHS), 2003","Based on official government statistics, value added in services in constant and current prices have been revised from 1990 onward. National accounts data in constant prices have been linked back to 1960; the new base year is 2005.","2005","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2012","Yes","2015","2010","2013","2005","MY","MY","Malaysia","Malaysia"
MDV,"Republic of Maldives","Upper middle income","South Asia","IDA","","Maldivian rufiyaa","2014","Demographic and Health Survey (DHS), 2009","April 2012 database update: The Department of National Planning revised national accounts data for 2000 onward; the base year changed to 2003.","2003","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010","Yes","","","2013","2008","MV","MV","Maldives","Maldives"
MLI,"Republic of Mali","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2009","Demographic and Health Survey (DHS), 2012/13","","1987","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2009/10","","","","2012","2006","ML","ML","Mali","Mali"
MLT,"Republic of Malta","High income: nonOECD","Middle East & North Africa","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.4293 Maltese lira. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","2010","2009","2013","2002","MT","MT","Malta","Malta"
MHL,"Republic of the Marshall Islands","Upper middle income","East Asia & Pacific","IDA","","U.S. dollar","2011","Republic of the Marshall Islands Demographic and Health Survey (RMIDHS), 2007","Fiscal year ends on September 30; reporting period for national accounts data: FY.","2003/04","","Country uses the 1968 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","","","General trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 1999","","2011. Population and Housing Census.","","","","MH","MH","Marshall Islands","Marshall Islands"
MRT,"Islamic Republic of Mauritania","Lower middle income","Sub-Saharan Africa","IDA","HIPC","Mauritanian ouguiya","2013","Multiple Indicator Cluster Survey (MICS), 2011","Based on official statistics from the Ministry of Economic Affairs and Development; the base year has been returned to 2004.","2004","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2008","","","","2013","2005","MR","MR","Mauritania","Mauritania"
MUS,"Republic of Mauritius","Upper middle income","Sub-Saharan Africa","IBRD","","Mauritian rupee","2011","World Health Survey (WHS), 2003","","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","Yes","2013/ 2014","2011","2013","2003","MU","MU","Mauritius","Mauritius"
MEX,"United Mexican States","Upper middle income","Latin America & Caribbean","IBRD","","Mexican peso","2010","National Survey of Demographic Dynamics (ENADID), 2009","The new base year is 2008.","2008","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2012","","2007","2010","2013","2011","MX","MX","Mexico","Mexico"
FSM,"Federated States of Micronesia","Lower middle income","East Asia & Pacific","IDA","","U.S. dollar","2010","","Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.","2003/04","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","","","","","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2000","","","","","","FM","FM","Micronesia, Fed. Sts.","Micronesia"
MDA,"Republic of Moldova","Lower middle income","Europe & Central Asia","Blend","","Moldovan leu","2014","Multiple Indicator Cluster Survey (MICS), 2012","","Original chained constant price data are rescaled.","1996","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1990–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2011","2011","2013","2007","MD","MD","Moldova","Moldova"
MCO,"Principality of Monaco","High income: nonOECD","Europe & Central Asia","","","Euro","2008","","","1990","","Country uses the 1993 System of National Accounts methodology.","","","","","","Special trade system","","","","Yes","","","","2009","MC","MC","Monaco","Monaco"
MNG,"Mongolia","Upper middle income","East Asia & Pacific","Blend","","Mongolian tugrik","2010","Multiple Indicator Cluster Survey (MICS), 2013","The new base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2012","Yes","2012","2011","2013","2009","MN","MN","Mongolia","Mongolia"
MNE,"Montenegro","Upper middle income","Europe & Central Asia","IBRD","","Euro","2011","Multiple Indicator Cluster Survey (MICS), 2013","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators continue to include data for Montenegro through 2005.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2013","Yes","2010","","2013","2010","ME","ME","Montenegro","Montenegro"
MAR,"Kingdom of Morocco","Lower middle income","Middle East & North Africa","IBRD","","Moroccan dirham","2014","Multiple Indicator Cluster Survey (MICS)/Pan Arab Project for Family Health (PAPFAM), 2006","","1998","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2007","","2012","2010","2012","2000","MA","MA","Morocco","Morocco"
MOZ,"Republic of Mozambique","Low income","Sub-Saharan Africa","IDA","HIPC","New Mozambican metical","2007","Demographic and Health Survey (DHS), 2011","Based on official government statistics; the new base year is 2009.","2009","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1992–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2008/09","","2009/ 2010","","2013","2001","MZ","MZ","Mozambique","Mozambique"
MMR,"Republic of the Union of Myanmar","Lower middle income","East Asia & Pacific","IDA","","Myanmar kyat","2014","Multiple Indicator Cluster Survey (MICS), 2009/10","Fiscal year end: March 31; reporting period for national accounts data: FY.","2005/06","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Estimate","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","","","2010","","2010","2000","MM","MM","Myanmar","Myanmar"
NAM,"Republic of Namibia","Upper middle income","Sub-Saharan Africa","IBRD","","Namibian dollar","2011","Demographic and Health Survey (DHS), 2013","Fiscal year end: March 31; reporting period for national accounts data: CY. Based on official government statistics, national accounts data have been revised from 1980 onward; the new base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Expenditure survey/budget survey (ES/BS), 2009/10","","2014","","2013","2002","NA","NA","Namibia","Namibia"
NPL,"Nepal","Low income","South Asia","IDA","","Nepalese rupee","2011","Multiple Indicator Cluster Survey (MICS), 2014","Fiscal year end: July 14; reporting period for national accounts data: FY.","2000/01","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2010/11","","2011/ 2012","2008","2013","2006","NP","NP","Nepal","Nepal"
NLD,"Kingdom of the Netherlands","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 2.20371 Netherlands guilder. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2010","Yes","2010","2010","2013","2008","NL","NL","Netherlands","Netherlands"
NCL,"New Caledonia","High income: nonOECD","East Asia & Pacific","","","CFP franc","2009","","","1990","","Country uses the 1993 System of National Accounts methodology.","","","2011 (household consumption only).","","","Special trade system","","","","Yes","","","2012","","NC","NC","New Caledonia","New Caledonia"
NZL,"New Zealand","High income: OECD","East Asia & Pacific","","","New Zealand dollar","2013","","Fiscal year end: March 31; reporting period for national accounts data: FY.","2005/06","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","","","Yes","2012","2010","2013","2002","NZ","NZ","New Zealand","New Zealand"
NIC,"Republic of Nicaragua","Lower middle income","Latin America & Caribbean","IDA","HIPC","Nicaraguan gold cordoba","2005","Reproductive Health Survey (RHS), 2006/2007","April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1965–95","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Living Standards Measurement Study Survey (LSMS), 2009","","2011","","2013","2011","NI","NI","Nicaragua","Nicaragua"
NER,"Republic of Niger","Low income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2012","Demographic and Health Survey (DHS), 2012","Based on official government statistics, national accounts data have been revised from 2006 onward; the new base year is 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","1993","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2011","","2004-2008","2002","2013","2005","NE","NE","Niger","Niger"
NGA,"Federal Republic of Nigeria","Lower middle income","Sub-Saharan Africa","Blend","","Nigerian naira","2006","Demographic and Health Survey (DHS), 2013","Based on official government statistics released 6 April, 2014, national accounts data have been revised from 2010 onward; the new base year is 2010. The new GDP data are 60 to 75 percent higher than previously reported and incorporate improved data sources and methodology. Nigeria reports using SNA 2008.","2010","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","1971–98","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2009/10","","2013","","2013","2005","NG","NG","Nigeria","Nigeria"
MNP,"Commonwealth of the Northern Mariana Islands","High income: nonOECD","East Asia & Pacific","","","U.S. dollar","2010","","","","","Country uses the 1968 System of National Accounts methodology.","","","2011 (household consumption only).","","","","","","","","2007","","","","MP","MP","Northern Mariana Islands","Northern Mariana Islands"
NOR,"Kingdom of Norway","High income: OECD","Europe & Central Asia","","","Norwegian krone","2011","","","Original chained constant price data are rescaled.","2005","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Income survey (IS), 2010","Yes","2010","2010","2013","2006","NO","NO","Norway","Norway"
OMN,"Sultanate of Oman","High income: nonOECD","Middle East & North Africa","","","Rial Omani","2010","Multiple Indicator Cluster Survey (MICS), 2014","Based on official government statistics; the new base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","","","2012/ 2013","2010","2013","2003","OM","OM","Oman","Oman"
PAK,"Islamic Republic of Pakistan","Lower middle income","South Asia","Blend","","Pakistani rupee","1998","Demographic and Health Survey (DHS), 2012/13","Fiscal year end: June 30; reporting period for national accounts data: FY. The new base year is 2005/06.","2005/06","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010/11","","2010","2006","2013","2008","PK","PK","Pakistan","Pakistan"
PLW,"Republic of Palau","Upper middle income","East Asia & Pacific","IBRD","","U.S. dollar","2010","","Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.","2004/05","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","","","Special trade system","","General Data Dissemination System (GDDS)","","Yes","","","2012","","PW","PW","Palau","Palau"
PAN,"Republic of Panama","Upper middle income","Latin America & Caribbean","IBRD","","Panamanian balboa","2010","Multiple Indicator Cluster Survey (MICS), 2013","The new base year is 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2012","","2011","2001","2013","2010","PA","PA","Panama","Panama"
PNG,"The Independent State of Papua New Guinea","Lower middle income","East Asia & Pacific","Blend","","Papua New Guinea kina","2011","Living Standards Measurement Study Survey (LSMS), 1996","","1998","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1989","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2009/10","","","2001","2012","2005","PG","PG","Papua New Guinea","Papua New Guinea"
PRY,"Republic of Paraguay","Upper middle income","Latin America & Caribbean","IBRD","","Paraguayan guarani","2012","Reproductive Health Survey (RHS), 2008","National accounts data have been revised from 1960 onward. The methodology and base year have not changed but the output of two hydroelectric plants (shared with neighboring countries) has been added raising GDP from previous estimates. On the supply side, it was added in "gas, electricity and water." On the demand side changes were mainly to exports, but also for imports, investment and consumption. National accounts price valuations for 1991 to 2012 have also been corrected and changed from VAP to VAB.","1994","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2013","","2008","2002","2013","2012","PY","PY","Paraguay","Paraguay"
PER,"Republic of Peru","Upper middle income","Latin America & Caribbean","IBRD","","Peruvian new sol","2007","Continuous Demographic and Health Survey (DHS), 2013","The new base year is 2007.","2007","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1985–90","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","","2012","2011","2013","2008","PE","PE","Peru","Peru"
PHL,"Republic of the Philippines","Lower middle income","East Asia & Pacific","IBRD","","Philippine peso","2010","Demographic and Health Survey (DHS), 2013","Source for GNI and net income from abroad is changed to national statistical office from central bank. April 2012 database update: National accounts data were revised for 1998 onward. Because intellectual property products are now reported as a part of gross fixed capital formation, gross domestic product (GDP) in current prices averaged 4 percent higher than previous estimates.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2012","2008","2013","2009","PH","PH","Philippines","Philippines"
POL,"Republic of Poland","High income: OECD","Europe & Central Asia","IBRD","","Polish zloty","2011","","","Original chained constant price data are rescaled.","2005","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2010","2011","2013","2009","PL","PL","Poland","Poland"
PRT,"Portuguese Republic","High income: OECD","Europe & Central Asia","","Euro area","Euro","2011","","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 200.482 Portuguese escudo. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.","2005","","Country uses the 2008 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","","Yes","2009","2010","2013","2002","PT","PT","Portugal","Portugal"
PRI,"Puerto Rico","High income: nonOECD","Latin America & Caribbean","","","U.S. dollar","2010","Reproductive Health Survey (RHS), 1995/96","Fiscal year end: June 30; reporting period for national accounts data: FY. April 2012 database update: Based on data from the Instituto de Estadísticas de Puerto Rico, national accounts data were revised for 2001 onward.","1953/54","","Country uses the 1968 System of National Accounts methodology.","Value added at producer prices (VAP)","","","","","General trade system","","","","Yes","2007","2006","","2005","PR","PR","Puerto Rico","Puerto Rico"
QAT,"State of Qatar","High income: nonOECD","Middle East & North Africa","","","Qatari riyal","2010","Multiple Indicator Cluster Survey (MICS), 2012","","2001","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","","","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","Yes","","2010","2013","2005","QA","QA","Qatar","Qatar"
ROM,"Romania","Upper middle income","Europe & Central Asia","IBRD","","New Romanian leu","2011","Reproductive Health Survey (RHS), 2004","National accounts have been revised based on data from the National Statistical Institute; the new base year is 2000.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–89, 1992","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Expenditure survey/budget survey (ES/BS), 2012","Yes","2010","2011","2013","2009","RO","RO","Romania","Romania"
RUS,"Russian Federation","High income: nonOECD","Europe & Central Asia","IBRD","","Russian ruble","2010","World Health Survey (WHS), 2003","","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","1987–95","2011","IMF Balance of Payments Manual, 6th edition.","","General trade system","Consolidated central government","Special Data Dissemination Standard (SDDS)","Integrated household survey (IHS), 2013","Yes","2014","2011","2013","2001","RU","RU","Russian Federation","Russia"
RWA,"Republic of Rwanda","Low income","Sub-Saharan Africa","IDA","HIPC","Rwandan franc","2012","Malaria Indicator Survey (MIS), 2013","Based on official government statistics, national accounts data are revised for 2006 onward; the new base year is 2011. Rwanda reports using SNA 2008.","2011","","Country uses the 2008 System of National Accounts methodology.","Value added at producer prices (VAP)","1994","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2010/11","","2008","","2013","2000","RW","RW","Rwanda","Rwanda"
WSM,"Samoa","Lower middle income","East Asia & Pacific","IDA","","Samoan tala","2011","Demographic and Health Survey (DHS), 2009","Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa. The new base year is 2008/09. Other methodological changes include increased reliance on summary data from the country’s Value Added Goods and Services Tax system, incorporation of more recent benchmarks, and use of improved data sources.","2008/09","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011 (household consumption only).","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","","","2009","","2013","","WS","WS","Samoa","Samoa"
SMR,"Republic of San Marino","High income: nonOECD","Europe & Central Asia","","","Euro","2010","","","1995","2000","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","","","","","Consolidated central government","General Data Dissemination System (GDDS)","","Yes","","","","","SM","SM","San Marino","San Marino"
STP,"Democratic Republic of São Tomé and Principe","Lower middle income","Sub-Saharan Africa","IDA","HIPC","São Tomé and Principe dobra","2012","Multiple Indicator Cluster Survey (MICS), 2014","Based on IMF data, national accounts data have been revised for 2000 onward; the new base year is 2000.","2000","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Priority survey (PS), 2010","","2011/12","","2013","1993","ST","ST","São Tomé and Principe","São Tomé and Principe"
SAU,"Kingdom of Saudi Arabia","High income: nonOECD","Middle East & North Africa","","","Saudi Arabian riyal","2010","Demographic survey, 2007","The new base year is 2010.","2010","","Country uses the 1993 System of National Accounts methodology.","Value added at producer prices (VAP)","","2011","IMF Balance of Payments Manual, 6th edition.","","Special trade system","","General Data Dissemination System (GDDS)","","","2010","2006","2013","2006","SA","SA","Saudi Arabia","Saudi Arabia"
SEN,"Republic of Senegal","Lower middle income","Sub-Saharan Africa","IDA","HIPC","CFA franc","2013","HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2014","","1999","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Budgetary central government","General Data Dissemination System (GDDS)","Priority survey (PS), 2011","","2013","2010","2012","2002","SN","SN","Senegal","Senegal"
SRB,"Republic of Serbia","Upper middle income","Europe & Central Asia","IBRD","","New Serbian dinar","2011","Multiple Indicator Cluster Survey (MICS), 2014","Montenegro declared independence from Serbia and Montenegro on June 3, 2006. Where available, data for each country are shown separately. However, for Serbia, some indicators, such as those series for which data appear only for Serbia and not Montenegro--e.g., aid, environment, external debt, balance of payments, various social indicators excluding population--continue to include data for Montenegro through 2005. Moreover, data from 1999 onward for Serbia for most indicators exclude data for Kosovo, 1999 being the year when Kosovo became a territory under international administration pursuant to UN Security Council Resolution 1244 (1999); any exceptions are noted. Kosovo became a World Bank member on June 29, 2009; available data are shown separately for Kosovo. In 2011, the Statistical Office of Serbia improved the methodology of national accounts data for 2003 onward. Specifically, the classification of sectors was revised. The new reference year for chain linked series is 2010.","Original chained constant price data are rescaled.","2010","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","Rolling","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Consolidated central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2011","Yes","2012","2011","","2009","RS","YF","Serbia","Serbia"
SYC,"Republic of Seychelles","High income: nonOECD","Sub-Saharan Africa","IBRD","","Seychelles rupee","2010","","April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","General trade system","Consolidated central government","General Data Dissemination System (GDDS)","Budget survey (BS), 2006/07","Yes","2011","","2008","2005","SC","SC","Seychelles","Seychelles"
SLE,"Republic of Sierra Leone","Low income","Sub-Saharan Africa","IDA","HIPC","Sierra Leonean leone","2004","Demographic and Health Survey (DHS), 2013; Malaria Indicator Survey (MIS), 2013","Fiscal year end: June 30; reporting period for national accounts data: CY. April 2013 database update: Based on official government statistics, national accounts data were revised for 1990 onward; the base year changed to 2006.","2006","","Country uses the 1993 System of National Accounts methodology.","Value added at basic prices (VAB)","","2011","IMF Balance of Payments Manual, 6th edition.","Actual","Special trade system","Budgetary central government","General Data Dissemination System (GDDS)","Integrated household survey (IHS), 2011","","","2008","2002","2005","SL","SL","Sierra Leone","Sierra Leone"
